Symbol,Strategy,Signal,Result,Date,RSI,ADX,Relative_Volume,ATR_Pct,EMA_Diff_Pct,Candle_Body_Pct
SOL-USD,Liquidation,LONG,LOSS,2026-06-04 12:00:00+00:00,26.01635060273911,56.06422045002413,1.5282601862402263,3.0770396218326734,5.711555692703922,1.3513439404880883
SOL-USD,Liquidation,LONG,WIN,2026-06-05 20:00:00+00:00,17.298809405324082,65.70609541389425,1.128802211493416,3.7872771230887774,8.464339780860549,0.31441716871624437
SOL-USD,Liquidation,LONG,WIN,2026-06-06 20:00:00+00:00,19.163879042479213,71.95307694305261,0.0,3.5375339327598323,9.610542197221996,0.8846698620867554
SOL-USD,Waterfall,SHORT,LOSS,2026-06-07 16:00:00+00:00,34.35859681036708,62.06599668998271,0.27365229708332317,3.242706201333492,8.221572116296615,1.6583310675113112
SOL-USD,Waterfall,SHORT,LOSS,2026-06-09 00:00:00+00:00,45.78064561911919,37.44956338343741,0.18310887684496246,2.943597040278367,5.330695936226682,1.196971084132339
SOL-USD,Waterfall,SHORT,LOSS,2026-06-09 08:00:00+00:00,46.577672970420785,32.83465405826798,0.2412077222827699,2.809548368207167,4.865545801575658,1.1802185684858544
SOL-USD,Waterfall,SHORT,LOSS,2026-06-09 12:00:00+00:00,39.07513122740633,31.81359120117441,0.3356997762475115,2.9318928740061816,4.971839583535282,2.7531445292590067
SOL-USD,Waterfall,SHORT,LOSS,2026-06-10 16:00:00+00:00,40.51816353500209,29.41784021661013,0.16730092595404827,2.7951986500934387,4.472075887356387,2.99259357529052
SOL-USD,Waterfall,SHORT,LOSS,2026-06-11 04:00:00+00:00,47.86355100161091,26.388877108079125,0.4851740052423954,2.6128287900080243,4.036760869828184,0.3540692120923556
SOL-USD,FOMO Short,SHORT,WIN,2026-06-15 16:00:00+00:00,79.33324779115063,34.9748738588911,0.0,1.8873242974424795,1.6444760992061838,0.026598354595949072
SOL-USD,FOMO Short,SHORT,WIN,2026-06-15 20:00:00+00:00,70.61565147790813,36.15987264026391,0.0,1.9589551033660182,1.910230286058454,1.7043177749618605
SOL-USD,Waterfall,SHORT,LOSS,2026-06-17 08:00:00+00:00,52.78070392746765,30.649830398346253,0.0,2.021382239115196,2.5890850845383357,1.7368347628156227
SOL-USD,Waterfall,SHORT,LOSS,2026-06-17 16:00:00+00:00,49.93983896587555,28.203548711085443,0.0,2.282197127033919,2.469644017183802,3.0023760753440256
SOL-USD,Waterfall,SHORT,LOSS,2026-06-18 00:00:00+00:00,49.69609584010197,25.922439720015785,0.04010778346757324,2.2062761777833053,2.2118450334232738,0.5867535040535554
SOL-USD,Waterfall,SHORT,LOSS,2026-06-18 08:00:00+00:00,46.384784346348724,23.002772373903554,0.5417167037344855,2.1759701366348114,1.9298932773222093,1.1993769453636547
SOL-USD,Waterfall,SHORT,LOSS,2026-06-18 12:00:00+00:00,37.04479872161229,22.511863232351224,4.203190296545637,2.4524432997822516,1.6241182581495588,3.7308019146822704
XRP-USD,Waterfall,SHORT,LOSS,2026-04-06 20:00:00+00:00,47.99862128138229,17.165397684337485,0.0,1.0720855217721286,0.5086006267583294,1.4815407641383422
XRP-USD,Waterfall,SHORT,LOSS,2026-04-07 08:00:00+00:00,40.94148650382733,15.822923809808914,0.26323125588998053,1.0736180466047223,0.612169972844507,0.4927123566527394
XRP-USD,Waterfall,SHORT,LOSS,2026-04-09 00:00:00+00:00,48.24125383233978,19.00145152056215,0.5602989355644006,1.4070361942872096,0.25360035515424323,0.7713017712026994
XRP-USD,Waterfall,SHORT,LOSS,2026-04-10 04:00:00+00:00,49.126970948866656,17.37811502923228,0.058350292509885354,1.256190610135797,0.24301256105829636,0.37458035578714255
XRP-USD,Waterfall,SHORT,LOSS,2026-04-12 00:00:00+00:00,44.733251136509764,19.941638797468734,5.857280018928025,1.1444986461325484,0.36797253845142475,1.7644142172722692
XRP-USD,Waterfall,SHORT,LOSS,2026-04-15 04:00:00+00:00,50.59968743327697,30.09361761361602,0.0,1.1172279061001809,0.4967016844006679,0.4362310930976541
XRP-USD,FOMO Short,SHORT,LOSS,2026-04-16 20:00:00+00:00,73.32054510071846,48.70672926875926,0.3723409495878803,1.5034875714430997,1.7686486131200285,0.8049476898002943
XRP-USD,Waterfall,SHORT,WIN,2026-04-18 08:00:00+00:00,52.677497514498,52.14004428719598,1.645961133356199,1.7814299038333086,2.6250953057521587,2.9818388148932025
XRP-USD,Waterfall,SHORT,WIN,2026-04-18 16:00:00+00:00,51.20827085564365,47.73511582321344,0.0,1.6660887061689504,2.4120377868107874,0.5953617509612225
XRP-USD,Waterfall,SHORT,WIN,2026-04-19 00:00:00+00:00,51.74863513380559,43.627562420478085,0.0,1.5768015815959984,2.2038607980292904,0.19581168566193125
XRP-USD,Waterfall,SHORT,LOSS,2026-04-19 04:00:00+00:00,48.7893271363348,41.260474968088836,1.3818559129258439,1.6093918933699012,2.0814624126262284,0.66159982427369
XRP-USD,Waterfall,SHORT,LOSS,2026-04-19 16:00:00+00:00,47.53241526054852,35.48547846790448,0.9753229313346499,1.5853548932766404,1.7855120711318477,1.0227128261733767
XRP-USD,Waterfall,SHORT,LOSS,2026-04-20 08:00:00+00:00,48.17188678435036,28.22263481056619,0.3587298180135703,1.6419447947625305,1.2674205258668299,0.014127635355459892
XRP-USD,Waterfall,SHORT,LOSS,2026-04-20 20:00:00+00:00,50.84967709900693,25.502595823718572,0.0,1.5398708195509505,1.1729138941203918,0.37895170442519954
XRP-USD,Waterfall,SHORT,LOSS,2026-04-21 00:00:00+00:00,50.62276622381917,24.594137540011825,0.0,1.4916609676931778,1.1235541266772202,0.05616495071067367
XRP-USD,Waterfall,SHORT,LOSS,2026-04-21 16:00:00+00:00,45.74706939089313,21.96352503515665,1.6532566436945728,1.4549510156731187,1.0270689962947954,1.3790676586048367
XRP-USD,Mega Trend,LONG,LOSS,2026-04-23 04:00:00+00:00,46.1483333172631,17.463696919442253,0.2197617066379066,1.311330306091671,0.88124102079107,0.3447616732712787
XRP-USD,Mega Trend,LONG,LOSS,2026-04-23 12:00:00+00:00,50.796257730097174,16.05131728171327,0.08265915031217641,1.2942526488683714,0.7507263890677925,1.0752641631993705
XRP-USD,Mega Trend,LONG,LOSS,2026-04-26 04:00:00+00:00,49.46423394401503,11.449308596779247,1.3653437630301244,0.8952399318162982,0.3206715587402478,0.7695024356805625
XRP-USD,Mega Trend,LONG,LOSS,2026-04-26 16:00:00+00:00,50.11742187717447,10.730358140363501,0.6626666568015618,0.8469793850867244,0.28340704598100275,0.07689523890312458
XRP-USD,Mega Trend,LONG,LOSS,2026-04-26 20:00:00+00:00,50.378607134237214,10.406044713604004,3.3345311208787254,0.8636292673159829,0.2750232573109185,0.02096783948281662
XRP-USD,Mega Trend,LONG,LOSS,2026-04-27 00:00:00+00:00,57.24969224037045,11.21622330873147,4.509097186481446,0.9015773783561812,0.3089458290879905,0.7764802646803299
XRP-USD,Mega Trend,LONG,WIN,2026-05-01 12:00:00+00:00,55.65947837471815,19.79267324107476,2.264127165631882,1.0521431596274637,1.0344742373418538,1.2750697088261924
XRP-USD,Waterfall,SHORT,LOSS,2026-05-03 00:00:00+00:00,47.47528933723391,14.623857003972677,0.5580294567566119,0.8707377027060479,0.5634377986042178,0.7371024303946294
