Date,Symbol,Category,Strategy,Signal,Price,SL,TP,Reason,RSI,ATR,EMA20,EMA50,Volume,Vol_SMA,Outcome
2026-04-06 05:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2130.30859375,2106.9063500976563,2200.515324707031,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2123.9950
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 58/100 (WATCH) | Poz: %0",74.35934061604856,12.898893821783142,2090.8261177161207,2072.119932534642,77728768.0,312054835.2,LOSS
2026-04-06 06:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2126.919921875,2099.280739746094,2209.8374682617186,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2124.0553
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 56/100 (WATCH) | Poz: %0",71.83890189322689,13.194846857950418,2094.2636228741094,2074.26895172446,46282752.0,314368972.8,LOSS
2026-04-06 07:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2134.205810546875,2101.4799609375,2232.383359375,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2124.7439
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 58/100 (WATCH) | Poz: %0",73.88824367159987,13.356030369212888,2098.0676407477063,2076.619416776319,328267776.0,330782361.6,LOSS
2026-04-06 13:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2143.6328125,2117.695078125,2221.4460156250007,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2135.8390
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 56/100 (WATCH) | Poz: %0",71.1728624077968,12.497422986294081,2120.007389452402,2091.5736785378417,497654784.0,436782361.6,LOSS
2026-04-06 19:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2144.7587890625,2115.3595385742187,2232.956540527344,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2139.0628
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟡 Conviction: 61/100 (MEDIUM) | Poz: %50",61.20900880412125,13.814708515103053,2132.3469392986617,2103.6070746505243,4251648.0,478879436.8,LOSS
2026-04-06 20:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2149.94384765625,2118.8296142578124,2243.286547851563,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2139.2834
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟡 Conviction: 60/100 (MEDIUM) | Poz: %50",63.23205873748164,13.737018676970692,2134.0228353327175,2105.4242030036903,250632192.0,434159564.8,LOSS
2026-04-13 23:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2370.280029296875,2319.520451660156,2522.5587622070316,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2282.4751
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 56/100 (WATCH) | Poz: %0",80.25709017761056,25.247745896551216,2247.2882024361584,2228.3874702194935,3334197248.0,579319244.8,LOSS
2026-04-14 17:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2339.1298828125,2300.9876806640623,2453.556489257813,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2319.5490
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟡 Conviction: 62/100 (MEDIUM) | Poz: %50",51.92105944809173,23.50775234147735,2345.9988329846137,2299.8412585164733,282460160.0,680375603.2,LOSS
2026-05-04 00:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2318.72998046875,2285.5140966796876,2418.3776318359373,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2316.3734
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 59/100 (WATCH) | Poz: %0",48.863481212718945,12.779578888095084,2323.111018618311,2313.138825643433,338569216.0,170254310.4,WIN
2026-05-24 05:00:00+00:00,ETH-USD,Crypto,_check_crypto_6_vwap,LONG,2117.22998046875,2090.2365966796874,2198.210131835938,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 2106.0763
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟠 Conviction: 51/100 (WATCH) | Poz: %0",62.69648455276494,13.770751773769213,2097.147623930344,2093.321034111236,0.0,180650291.2,LOSS
2026-06-13 21:00:00+00:00,ETH-USD,Crypto,_check_crypto_2_mega_trend,LONG,1685.5699462890625,1673.3842866484238,1722.1269252109787,"1G EMA20>50 Trendi. BTC Dominans 'UNKNOWN' yönünde. Hacim onaylı. ATR Stop aktif.
🟢 Conviction: 82/100 (STRONG) | Poz: %100",61.647108996491234,8.123773093759135,1675.0857628796437,1669.249122916225,141778944.0,26928307.2,LOSS
2026-06-14 05:00:00+00:00,ETH-USD,Crypto,_check_crypto_2_mega_trend,LONG,1677.9599609375,1667.4790264879614,1709.4027642861158,"1G EMA20>50 Trendi. BTC Dominans 'UNKNOWN' yönünde. Hacim onaylı. ATR Stop aktif.
🟡 Conviction: 66/100 (MEDIUM) | Poz: %50",51.80250218016843,6.987289633025695,1677.8288006083594,1672.2522851186818,96971264.0,62502297.6,LOSS
2026-04-14 17:00:00+00:00,SOL-USD,Crypto,_check_crypto_6_vwap,LONG,85.22834014892578,83.9376294708252,89.10047218322752,"⚓ VWAP Bounce (Kurumsal Mıknatıs)!
4S Anchored VWAP: 84.8956
Pin Bar onayı: VWAP'a değip sıçradı.
BTC > EMA20 (Piyasa izni var ✅)
🟡 Conviction: 61/100 (MEDIUM) | Poz: %50",49.61816950975337,0.6388887721668,85.55024565077142,84.61316181613762,57411072.0,95537638.4,LOSS
2026-06-11 15:30:00-04:00,SPY,BearHunter,analyze_bear_hunter,SHORT,737.6400146484375,741.3838449295249,726.4085238051753,"🧹 SPY Zirve Tuzağı!
Önceki tepe (738.38) süpürüldü.
Devasa üst fitil + kırmızı gövde.
📐 R:R Oranı: 3.0:1
🛑 SL: 741.38 (0.5%)
👑 BTC: Zayıf ✅
🧲 Funding: +0.0000% (Shortçu az) ✅
🟡 Conviction: 72/100 (MEDIUM) | Poz: %50",54.38923269119525,4.6128164317474,733.7753309236945,739.4137449531075,16282891.0,9417716.3,LOSS
2026-05-05 09:30:00-04:00,TSLA,BearHunter,analyze_bear_hunter,SHORT,394.4599914550781,403.52720051858074,367.2583642645703,"🧹 TSLA Zirve Tuzağı!
Önceki tepe (397.82) süpürüldü.
Devasa üst fitil + kırmızı gövde.
📐 R:R Oranı: 3.0:1
🛑 SL: 403.53 (2.3%)
👑 BTC: Zayıf ✅
🧲 Funding: +0.0000% (Shortçu az) ✅
🟡 Conviction: 72/100 (MEDIUM) | Poz: %50",63.18628808800322,4.790679211264254,388.90826414411976,384.18214389718344,17040715.0,7486023.1,LOSS
